Name	SMILE
CHEMBL396008	 CC1=CC=CC(=C1)N1C(=O)N(C2=CC=CC=C2)C2(CCN(CC3=CC=C(C=C3)C3=CC=CC(=C3)C#N)CC2)C1=O
CHEMBL2387282	 CC1CCCN1C1CCN(C1)C1=CC=C(NC(=O)N2CCN(CC2)C(C)=O)C=C1
CHEMBL330566	 O=C(CN1C2=CC=CC=C2N(C2=CC=CC=C2)C(=O)C(CC2=C3C=CC=CC3=NN2)C1=O)N(C1CC1)C1=CC=CC=C1
CHEMBL318291	 CC(C)CCN1C2=CC=CC=C2N(CC23CC4CC(CC(C4)C2)C3)C(=O)C(NC(=O)OC2=CC=CC=C2)C1=O
CHEMBL2387317	 CC1CCCN1C1CCN(C1)C1=CC=C(NC(=O)N2CCN(C)CC2)C=C1
CHEMBL318569	 O=C(NC1C(=O)N(CC23CC4CC(CC(C4)C2)C3)C2=CC=CC=C2N(C2CCCCC2)C1=O)OC1=CC=CC=C1
CHEMBL88545	 CC(C)N(C(=O)CN1C2=CC=CC=C2N(C2=CC=CC=C2)C(=O)C(CC2=C3C=CC=CC3=NN2)C1=O)C1=CC=CC=C1
CHEMBL2387284	 CC1CCCN1C1CCN(C1)C1=CC=C(NC(=O)N2CCN(CC2)C2=CC=CC=C2)C=C1
CHEMBL431451	 CC(C)(C)N(C(=O)CN1C2=CC=CC=C2N(C2=CC=CC=C2)C(=O)C(CC2=C3C=CC=CC3=NN2)C1=O)C1=CC=CC=C1
CHEMBL105153	 CC(C)C[C@H](NC(=O)NC1=CC(C)=CC=C1)C(=O)N1CCC(CC1)C(=O)C1=CC=CC=C1
CHEMBL323421	 CN1CCC2(CC1)N(CN(CC(C)=O)C2=O)C1=CC=C(C)C=C1
CHEMBL316164	 COC1=CC=C(C=C1)N(C(C)C)C(=O)CN1C2=CC=CC=C2N(C2=CC=CC=C2)C(=O)C(C)(CC2=CNC3=CC=CC=C23)C1=O
CHEMBL100509	 CC(C)CCN1C2=CC=CC=C2N(CC23CC4CC(CC(C4)C2)C3)C(=O)C(NC(=O)OC2=CC=CC(=C2)N(C)C)C1=O
CHEMBL2441662	 CC1CCCN1C1CCN(C1)C1=CC=C(NC(=O)C2CCCN2C(C)=O)C=C1C
CHEMBL88629	 COC1=CC=C(C=C1)N(C(C)C)C(=O)CN1C2=CC=CC=C2N(C2=CC=CC=C2)C(=O)C(C)(CC2=C3C=CC=CC3=NN2)C1=O
CHEMBL327909	 COC1=CC=C(C=C1)N(C(C)C)C(=O)CN1C2=CC=CC=C2N(C2=CC=CC=C2)C(=O)C(C)(CC2=CN(C)C3=CC=CC=C23)C1=O
CHEMBL320901	 CC(C)C[C@@H](NC(=O)NC1=CC(C)=CC=C1)C(=O)N1CCC(CC1)C(=O)C1=CC=CC=C1
CHEMBL102461	 CC1=CC=CC(NC(=O)N[C@H](CCCC2=CC=CC=C2)C(=O)N2CCC(CC2)C(=O)C2=CC=CC=C2)=C1
CHEMBL95369	 CC1=CC=C(C=C1)[C@H]1C[C@H](C[C@@H](NC(=O)NC2=CC=CC(C)=C2)C(=O)N1CC(=O)NC(C)(C)C)C1=CC=CC=C1
CHEMBL329840	 CCCCCN(CCCCC)C(=O)N1CCN([C@@H](C1)C(=O)N(C)CCN(C)C)C(=O)N(C1=CC=CC=C1)C1=CC=CC=C1
CHEMBL560270	 CN(CCN1CCN(C1=O)C1=CC(C)=CC=C1)C[C@@]12CC[C@@H](CC1)C2(C)C
CHEMBL2441661	 CC1CCCN1C1CCN(C1)C1=CC=C(NC(=O)C2CCCN2C(C)=O)C(C)=C1
CHEMBL2018501	 BrC1=CC=C(N[C@@H](CC(=O)N2CCC(CC2)N2CC3=CC=CC=C3NC2=O)C(=O)N2CCC(CC2)N2CCCCC2)C2=CC=CC=C12
CHEMBL90547	 CCCCCN(CCCCC)C(=O)N1CCN([C@@H](C1)C(=O)NCCN(C)C)C(=O)N(C1=CC=CC=C1)C1=CC=CC=C1
CHEMBL430451	 CC(C)N(C(=O)CN1C2=CC=CC=C2N(C2=CC=CC=C2)C(=O)C(C)(CC2=C3C=CC=CC3=NN2)C1=O)C1=CC=CC=C1
CHEMBL230626	 O=C1NC(=O)C2(CCN(CC3=CC=C(C=C3)C3=CC(=CC=C3)C#N)CC2)N1C1=CC=CC=C1
CHEMBL327849	 COC1=CC=C(C=C1)N(C1CCCC1)C(=O)CN1C2=CC=CC=C2N(C2=CC=CC=C2)C(=O)C(CC2=C3C=CC=CC3=NN2)C1=O
CHEMBL169807	 CN1CCN(CC1)C(=O)CN1C2=CC=CC=C2CCC(NC(=O)NC2=CC(C)=CC=C2)C1=O
CHEMBL92621	 CCCCCN(CCCCC)C(=O)N1CCN([C@@H](C1)C(=O)NCCN(CC)CC)C(=O)N(C1=CC=CC=C1)C1=CC=CC=C1
CHEMBL2018498	 O=C(C[C@H](NC1=CC=C2NC=CC2=C1)C(=O)N1CCC(CC1)N1CCCCC1)N1CCC(CC1)N1CC2=CC=CC=C2NC1=O
CHEMBL330521	 CC(C)N(C(=O)CN1C2=CC=CC=C2N(C2=CC=CC=C2)C(=O)C(CC2=C3C=CC=CC3=NN2)C1=O)C1=CC=C(F)C=C1
CHEMBL88576	 CC(C)(C)NC(=O)NC1=CC=CC(CN2C3=CC=CC=C3CCC(NC(=O)NC3=CC=CC=C3)C2=O)=C1
